               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035468,            0.012646,              0.0161,             0.84422,              0.8466,             0.88428,             0.54154,            0.037784,            0.010461,            0.010135,            0.070111,            0.003321,            0.003321
                   1,            0.037041,            0.011101,           0.0099762,             0.84249,              0.8493,             0.88503,             0.51253,            0.041235,             0.01054,            0.010795,            0.040045,           0.0065885,           0.0065885
                   2,            0.039249,            0.011058,           0.0098837,             0.89733,             0.89474,             0.91996,             0.55802,            0.035842,            0.010521,           0.0083927,           0.0099129,           0.0097899,           0.0097899
                   3,            0.039143,            0.011123,            0.008889,             0.93372,             0.92095,             0.94385,             0.55446,            0.035949,            0.010618,           0.0077238,            0.009703,            0.009703,            0.009703
                   4,            0.037524,             0.01091,           0.0080336,             0.94765,              0.9134,             0.94401,             0.59344,            0.032946,            0.010154,           0.0076838,            0.009703,            0.009703,            0.009703
                   5,            0.036567,            0.010769,           0.0083525,             0.94126,             0.93465,             0.95078,             0.59543,            0.034381,             0.01015,           0.0069511,            0.009604,            0.009604,            0.009604
                   6,            0.035192,            0.010624,           0.0077871,             0.91359,             0.85909,              0.9424,             0.58687,            0.032269,            0.012716,           0.0063256,            0.009505,            0.009505,            0.009505
                   7,            0.034936,            0.010585,           0.0072352,             0.94799,             0.94028,             0.95706,              0.6084,            0.030646,           0.0099602,           0.0058971,            0.009406,            0.009406,            0.009406
                   8,             0.03393,            0.010335,           0.0073693,             0.95771,             0.93343,             0.95498,             0.60605,            0.030835,            0.009914,           0.0058133,            0.009307,            0.009307,            0.009307
                   9,            0.033576,            0.010445,           0.0070795,             0.94863,              0.9361,             0.95422,             0.61064,            0.029621,           0.0097164,           0.0063053,            0.009208,            0.009208,            0.009208
                  10,            0.033268,            0.010301,            0.006925,             0.96241,             0.93524,             0.96225,             0.60945,            0.030239,           0.0099447,           0.0052943,            0.009109,            0.009109,            0.009109
                  11,            0.032091,            0.010227,           0.0063753,             0.96045,             0.93867,             0.96196,             0.61935,            0.029248,           0.0097339,           0.0053091,             0.00901,             0.00901,             0.00901
                  12,            0.031518,            0.010105,           0.0062785,             0.95722,             0.94241,             0.96261,             0.62974,            0.029913,           0.0095582,           0.0056578,            0.008911,            0.008911,            0.008911
                  13,            0.031927,            0.010231,           0.0064155,             0.96279,             0.93438,             0.96166,             0.62599,            0.030055,           0.0096277,            0.005122,            0.008812,            0.008812,            0.008812
                  14,            0.031055,            0.009986,             0.00578,             0.97256,                0.94,             0.96556,             0.63975,            0.027989,           0.0093788,           0.0048491,            0.008713,            0.008713,            0.008713
                  15,            0.030519,             0.00993,           0.0057797,             0.94812,             0.93481,             0.95928,             0.62682,            0.028253,            0.009549,           0.0071495,            0.008614,            0.008614,            0.008614
                  16,            0.030645,            0.010002,           0.0058549,             0.96919,             0.94292,             0.96634,             0.64759,            0.027468,              0.0093,           0.0045986,            0.008515,            0.008515,            0.008515
                  17,            0.030427,            0.009815,           0.0057127,             0.94356,             0.92758,             0.95553,             0.63203,            0.028717,           0.0094713,            0.010293,            0.008416,            0.008416,            0.008416
                  18,            0.029771,           0.0098647,           0.0057058,             0.97262,             0.94441,             0.96757,             0.64351,            0.027575,           0.0093646,           0.0044048,            0.008317,            0.008317,            0.008317
                  19,            0.030111,           0.0099987,           0.0062423,             0.96335,             0.93138,              0.9617,             0.64068,            0.028024,           0.0093406,            0.005669,            0.008218,            0.008218,            0.008218
                  20,            0.029973,            0.009961,           0.0057146,             0.97026,             0.94752,             0.96879,             0.65003,            0.028008,           0.0091738,           0.0044492,            0.008119,            0.008119,            0.008119
                  21,            0.029636,           0.0099229,           0.0055597,             0.97086,             0.94375,             0.96872,              0.6484,            0.027221,           0.0092134,           0.0043242,             0.00802,             0.00802,             0.00802
                  22,             0.02962,           0.0097492,           0.0053794,             0.96854,             0.94185,             0.96507,             0.64687,            0.027174,           0.0093031,           0.0043374,            0.007921,            0.007921,            0.007921
                  23,            0.029113,           0.0099525,           0.0054548,             0.96575,             0.95071,             0.96825,               0.653,            0.026968,            0.009257,           0.0043968,            0.007822,            0.007822,            0.007822
                  24,            0.028869,           0.0095475,           0.0055458,             0.97144,             0.94571,             0.96967,             0.65042,            0.027188,           0.0091752,           0.0043954,            0.007723,            0.007723,            0.007723
                  25,            0.028861,           0.0096138,           0.0054849,             0.96857,             0.94376,             0.96834,             0.65514,            0.026797,           0.0090465,           0.0040651,            0.007624,            0.007624,            0.007624
                  26,            0.028676,            0.009658,           0.0048076,             0.96586,             0.95221,             0.97069,             0.65408,            0.027566,           0.0091652,           0.0042195,            0.007525,            0.007525,            0.007525
                  27,            0.028439,           0.0096863,           0.0051979,             0.96715,             0.94961,             0.96939,             0.65294,             0.02697,           0.0091436,           0.0043146,            0.007426,            0.007426,            0.007426
                  28,             0.02856,           0.0098158,           0.0050404,             0.97339,             0.94516,             0.96863,              0.6552,            0.026932,           0.0091405,           0.0040596,            0.007327,            0.007327,            0.007327
                  29,            0.027971,           0.0096455,           0.0049657,             0.97479,             0.94859,              0.9711,             0.66057,            0.026357,           0.0090484,           0.0040001,            0.007228,            0.007228,            0.007228
                  30,            0.027978,           0.0093752,           0.0048313,             0.96425,             0.94735,             0.96804,             0.65603,            0.027128,           0.0090029,           0.0040086,            0.007129,            0.007129,            0.007129
                  31,            0.028203,             0.00944,           0.0049492,             0.96846,             0.94797,             0.97002,             0.65944,            0.026482,           0.0091145,           0.0040812,             0.00703,             0.00703,             0.00703
                  32,            0.028143,            0.009438,           0.0049306,             0.96642,             0.94265,              0.9667,             0.65705,            0.026518,           0.0090177,           0.0045287,            0.006931,            0.006931,            0.006931
                  33,            0.027716,           0.0094589,            0.005069,             0.96668,             0.95026,             0.97169,             0.66175,            0.026378,           0.0090604,            0.003779,            0.006832,            0.006832,            0.006832
                  34,            0.027578,           0.0092222,           0.0049279,              0.9714,             0.94559,             0.97128,             0.66466,            0.026103,           0.0089872,            0.003928,            0.006733,            0.006733,            0.006733
                  35,            0.027177,           0.0093395,           0.0048436,             0.97213,             0.95052,             0.97116,             0.66148,            0.026314,            0.008982,           0.0039685,            0.006634,            0.006634,            0.006634
                  36,            0.027482,           0.0095224,           0.0050604,             0.97394,             0.95056,             0.97361,             0.66475,            0.026073,           0.0089584,            0.003751,            0.006535,            0.006535,            0.006535
                  37,            0.027287,           0.0093183,           0.0044691,              0.9725,             0.95221,             0.97266,              0.6658,             0.02627,            0.008971,            0.003596,            0.006436,            0.006436,            0.006436
                  38,            0.027332,           0.0093388,           0.0046734,             0.97161,             0.95204,             0.96997,             0.66536,            0.026222,           0.0089283,           0.0036046,            0.006337,            0.006337,            0.006337
                  39,            0.027272,            0.009415,           0.0044274,             0.97292,             0.95212,              0.9721,             0.66894,            0.025927,           0.0089118,           0.0035911,            0.006238,            0.006238,            0.006238
                  40,            0.027063,           0.0093497,           0.0046787,             0.97337,             0.95144,             0.97136,             0.66385,            0.026202,           0.0089305,           0.0036804,            0.006139,            0.006139,            0.006139
                  41,            0.027263,           0.0092503,           0.0047833,             0.97213,             0.95273,             0.97342,             0.66461,            0.026101,           0.0089344,           0.0036223,             0.00604,             0.00604,             0.00604
                  42,            0.026797,           0.0092518,           0.0045241,             0.97145,             0.95307,             0.97287,             0.66887,            0.025881,           0.0088594,            0.003657,            0.005941,            0.005941,            0.005941
                  43,            0.026539,           0.0092365,           0.0044322,             0.97458,             0.94679,             0.97187,             0.66697,            0.026073,           0.0088716,           0.0036241,            0.005842,            0.005842,            0.005842
