               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.040376,            0.028691,            0.019017,             0.90047,             0.86205,             0.90503,             0.58768,            0.036894,            0.023622,           0.0075262,            0.070236,           0.0033071,           0.0033071
                   1,            0.039662,            0.024604,            0.010799,             0.92306,             0.90163,             0.92136,             0.57326,            0.038497,            0.022541,           0.0056996,             0.04017,           0.0065747,           0.0065747
                   2,            0.040868,            0.023456,            0.010477,             0.91736,             0.87623,             0.91071,              0.5409,            0.039841,            0.022664,           0.0065722,            0.010039,           0.0097763,           0.0097763
                   3,             0.04255,            0.024268,            0.010156,             0.89623,             0.89697,             0.92054,             0.54333,            0.040825,            0.022213,            0.005687,            0.009703,            0.009703,            0.009703
                   4,            0.040964,            0.023234,           0.0095224,             0.89093,             0.90377,             0.92828,             0.56538,             0.03968,            0.022335,           0.0054637,            0.009703,            0.009703,            0.009703
                   5,             0.04083,            0.024025,           0.0094577,             0.94551,             0.90841,             0.93647,             0.58966,            0.037678,            0.021985,           0.0057377,            0.009604,            0.009604,            0.009604
                   6,            0.039242,            0.023862,           0.0088243,             0.93767,              0.9144,             0.93622,              0.5752,            0.037314,            0.021782,           0.0052712,            0.009505,            0.009505,            0.009505
                   7,            0.038353,            0.022259,           0.0085818,             0.95064,             0.91548,             0.94358,             0.61135,            0.037369,             0.02147,            0.005215,            0.009406,            0.009406,            0.009406
                   8,            0.037918,            0.022232,           0.0086426,             0.93076,             0.91817,             0.93839,             0.59928,            0.037912,            0.021472,           0.0049916,            0.009307,            0.009307,            0.009307
                   9,            0.038057,            0.023314,           0.0085916,             0.94467,             0.92203,             0.94379,             0.60487,             0.03582,            0.021454,            0.004874,            0.009208,            0.009208,            0.009208
                  10,            0.037966,            0.023144,           0.0081773,             0.95573,             0.92014,             0.94939,             0.62798,            0.034614,            0.020921,           0.0048644,            0.009109,            0.009109,            0.009109
                  11,            0.036063,            0.021765,           0.0078228,             0.94899,             0.92553,             0.94738,             0.62916,             0.03461,            0.020883,           0.0047814,             0.00901,             0.00901,             0.00901
                  12,            0.037006,            0.022609,           0.0074522,             0.95351,             0.93015,             0.94876,             0.63811,            0.033926,            0.020618,           0.0047087,            0.008911,            0.008911,            0.008911
                  13,            0.036656,            0.021955,            0.007624,             0.95145,             0.92277,              0.9485,             0.63837,            0.035252,            0.020758,           0.0048719,            0.008812,            0.008812,            0.008812
                  14,            0.036063,            0.021193,           0.0073833,             0.95246,             0.91816,             0.94903,             0.63361,            0.034675,            0.020906,           0.0048192,            0.008713,            0.008713,            0.008713
                  15,            0.036141,            0.022151,           0.0074766,             0.95328,             0.92665,             0.95279,             0.64986,             0.03317,            0.020562,           0.0048487,            0.008614,            0.008614,            0.008614
                  16,            0.034665,            0.021819,           0.0074793,             0.95764,              0.9268,              0.9511,             0.63048,             0.03392,            0.020728,            0.004433,            0.008515,            0.008515,            0.008515
                  17,            0.035493,            0.021447,           0.0069967,             0.95589,             0.93034,             0.94997,             0.62787,            0.034272,            0.020828,           0.0046468,            0.008416,            0.008416,            0.008416
                  18,            0.035444,            0.022021,           0.0069536,             0.95775,             0.93592,             0.95186,             0.63723,            0.033463,            0.020555,           0.0044222,            0.008317,            0.008317,            0.008317
                  19,            0.035512,            0.021595,            0.007024,             0.96318,             0.93103,             0.95072,             0.64603,            0.033623,            0.020533,           0.0045435,            0.008218,            0.008218,            0.008218
                  20,            0.034309,            0.021408,            0.006739,             0.95534,             0.93308,             0.95085,             0.65188,            0.033105,            0.020347,           0.0042183,            0.008119,            0.008119,            0.008119
                  21,            0.034825,            0.021644,           0.0065612,             0.94428,             0.94085,             0.95305,             0.65839,            0.032895,            0.020401,           0.0040829,             0.00802,             0.00802,             0.00802
                  22,            0.034131,            0.020879,           0.0068805,             0.95021,             0.93244,             0.95267,             0.65676,            0.033029,            0.020293,           0.0043778,            0.007921,            0.007921,            0.007921
                  23,            0.034098,            0.020464,           0.0066198,                0.96,              0.9352,             0.95435,             0.64583,            0.033209,            0.020366,           0.0041658,            0.007822,            0.007822,            0.007822
                  24,            0.034268,            0.021624,           0.0066558,             0.95906,             0.93035,             0.95411,             0.65493,            0.032937,            0.020266,           0.0044363,            0.007723,            0.007723,            0.007723
                  25,            0.033856,            0.020444,           0.0070118,             0.96003,             0.92882,             0.95178,              0.6512,            0.032753,            0.020263,            0.004252,            0.007624,            0.007624,            0.007624
                  26,            0.033809,            0.020525,           0.0062671,             0.95569,             0.93248,             0.95272,             0.67056,            0.032361,            0.020122,            0.004134,            0.007525,            0.007525,            0.007525
                  27,            0.033311,            0.020965,           0.0063824,             0.96074,             0.93277,              0.9546,             0.65838,              0.0328,            0.020137,           0.0041329,            0.007426,            0.007426,            0.007426
                  28,            0.033325,            0.020096,            0.006375,             0.95688,             0.93599,             0.95168,             0.66022,            0.032361,            0.020081,           0.0042478,            0.007327,            0.007327,            0.007327
                  29,            0.033698,            0.021454,           0.0062315,             0.96056,             0.93393,             0.95417,             0.66227,            0.032346,             0.02006,           0.0042217,            0.007228,            0.007228,            0.007228
                  30,            0.033393,            0.020926,           0.0063096,             0.95821,             0.93893,             0.95454,             0.66542,            0.031984,            0.020156,           0.0041539,            0.007129,            0.007129,            0.007129
                  31,            0.033449,             0.02081,            0.006208,             0.95608,              0.9358,             0.95556,             0.67184,            0.031852,            0.019839,           0.0039568,             0.00703,             0.00703,             0.00703
                  32,            0.032983,            0.019783,           0.0059597,             0.95414,             0.93004,             0.95193,              0.6713,            0.031958,            0.020107,           0.0041268,            0.006931,            0.006931,            0.006931
                  33,            0.032859,            0.020351,           0.0059625,             0.95704,             0.93716,             0.95725,             0.67281,            0.031656,            0.019934,           0.0040604,            0.006832,            0.006832,            0.006832
                  34,            0.032583,            0.020611,           0.0057701,             0.95704,             0.93632,             0.95666,             0.66897,            0.031807,            0.020052,           0.0039821,            0.006733,            0.006733,            0.006733
                  35,            0.032219,            0.019946,           0.0057069,             0.96151,             0.93197,             0.95654,             0.67024,            0.031501,            0.019971,           0.0039888,            0.006634,            0.006634,            0.006634
                  36,            0.032214,            0.020168,           0.0059732,             0.95631,             0.93574,             0.95369,             0.66936,            0.031818,            0.020083,           0.0041095,            0.006535,            0.006535,            0.006535
                  37,            0.031638,            0.019847,           0.0060692,             0.95652,             0.94088,             0.95648,             0.66915,            0.031804,            0.019889,           0.0038936,            0.006436,            0.006436,            0.006436
                  38,             0.03184,            0.020128,           0.0059148,             0.95546,             0.93748,             0.95532,             0.67675,            0.031373,            0.019913,           0.0041713,            0.006337,            0.006337,            0.006337
                  39,             0.03177,             0.01975,           0.0057266,             0.94917,             0.93187,               0.952,             0.67205,            0.031958,            0.019987,           0.0044258,            0.006238,            0.006238,            0.006238
                  40,             0.03188,            0.020111,           0.0058678,             0.95899,             0.93563,             0.95496,             0.67156,            0.031822,            0.019981,           0.0039555,            0.006139,            0.006139,            0.006139
                  41,             0.03143,            0.019862,           0.0057085,             0.95101,             0.93338,             0.95556,             0.66923,            0.031571,            0.019956,           0.0039685,             0.00604,             0.00604,             0.00604
                  42,            0.031499,            0.020104,           0.0056045,             0.96013,             0.93199,             0.95625,             0.67774,            0.031474,            0.020029,           0.0038897,            0.005941,            0.005941,            0.005941
                  43,            0.032193,            0.020863,           0.0054266,             0.95209,             0.93856,             0.95845,              0.6723,            0.031126,            0.019745,           0.0039808,            0.005842,            0.005842,            0.005842
                  44,            0.031676,            0.019594,           0.0057584,             0.96034,             0.93088,             0.95503,              0.6832,             0.03115,            0.019885,           0.0040566,            0.005743,            0.005743,            0.005743
                  45,            0.031736,            0.020256,           0.0056528,             0.95272,             0.93884,             0.95442,             0.68185,             0.03136,            0.019773,           0.0037632,            0.005644,            0.005644,            0.005644
                  46,            0.031186,            0.019733,           0.0055199,             0.95443,             0.93797,             0.95637,             0.67725,            0.031231,            0.019864,           0.0038768,            0.005545,            0.005545,            0.005545
                  47,            0.030977,            0.019504,           0.0054898,             0.95405,             0.93521,             0.95644,              0.6864,            0.030963,            0.019726,           0.0040326,            0.005446,            0.005446,            0.005446
                  48,            0.030946,            0.019743,           0.0053864,             0.95543,             0.93523,             0.95538,             0.68472,            0.030779,            0.019681,           0.0037445,            0.005347,            0.005347,            0.005347
                  49,            0.030264,            0.018844,           0.0051795,             0.95679,             0.93086,             0.95463,             0.67897,            0.030994,            0.019887,           0.0038804,            0.005248,            0.005248,            0.005248
                  50,            0.030918,            0.019675,           0.0055572,             0.95418,             0.93675,              0.9555,             0.68641,            0.030717,            0.019726,           0.0038423,            0.005149,            0.005149,            0.005149
                  51,            0.030331,            0.019154,           0.0054498,             0.95395,             0.93377,              0.9579,             0.67538,            0.030822,            0.019864,           0.0038699,             0.00505,             0.00505,             0.00505
                  52,            0.030593,            0.019152,           0.0050674,             0.95671,             0.93759,             0.95734,             0.67687,            0.030904,            0.019766,           0.0036874,            0.004951,            0.004951,            0.004951
                  53,            0.030143,            0.018869,           0.0046561,             0.95544,              0.9391,             0.95774,             0.68358,            0.030894,             0.01974,           0.0036069,            0.004852,            0.004852,            0.004852
                  54,            0.029827,            0.019127,           0.0050974,             0.95427,             0.93507,             0.95762,             0.69045,            0.030509,            0.019621,           0.0037093,            0.004753,            0.004753,            0.004753
                  55,            0.030654,            0.019703,           0.0050038,             0.95351,             0.93712,             0.95444,             0.68479,            0.030693,            0.019731,           0.0037687,            0.004654,            0.004654,            0.004654
